amfi_code,scheme_name,fund_house,category,sub_category,risk_category,observations,mean_daily_return,daily_volatility,historical_var_95,historical_cvar_95,var_95_pct,cvar_95_pct
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Small Cap,Very High,1149,0.00020131692580289563,0.015717101489290827,-0.02685943514961382,-0.03238412245049217,-2.685943514961382,-3.238412245049217
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Small Cap,Very High,1149,0.00018236517391230026,0.015790461312930562,-0.02618842440959035,-0.03166729360598028,-2.618842440959035,-3.166729360598028
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Small Cap,Very High,1149,0.0004244528681492361,0.016250785494711695,-0.026021248221061066,-0.03245905898704435,-2.6021248221061066,-3.245905898704435
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Small Cap,Very High,1149,0.0007071093821003067,0.015900663604058236,-0.025438111458963106,-0.032304072697818535,-2.543811145896311,-3.2304072697818533
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Small Cap,Very High,1149,0.0012010157369980656,0.01583707591818766,-0.0245070519056771,-0.03059526410880242,-2.45070519056771,-3.059526410880242
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Small Cap,Very High,1149,0.0011941715475284602,0.01564785832374583,-0.023483069386777154,-0.03103625202188441,-2.3483069386777156,-3.103625202188441
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Mid Cap,High,1149,0.0001098147223397074,0.011423709289098149,-0.01922028344426503,-0.023250860269221213,-1.922028344426503,-2.325086026922121
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,Mid Cap,High,1149,0.0010798038431409668,0.011929006552266409,-0.019033535861558825,-0.023455762770703794,-1.9033535861558826,-2.3455762770703794
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,Mid Cap,High,1149,0.0011613203372383767,0.012152155877011201,-0.01889178619869274,-0.02434207039551981,-1.889178619869274,-2.434207039551981
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,Mid Cap,High,1149,0.0010266978562569042,0.012225334849231497,-0.018480276243938307,-0.02426005947837057,-1.8480276243938307,-2.426005947837057
